"Collected","GameId","GameState","FinalMessage","Round","Region","Network","StartDate","StartTime","TeamName","Versus","TeamScore","OpponentScore","WinningTeam"
"03/22/2024 23:02:02","","pre","","Sweet 16®","EAST","","03-28-2024","TBA","","","","",
"03/22/2024 23:02:02","","pre","","Sweet 16®","EAST","","03-28-2024","TBA","","","","",
"03/22/2024 23:02:02","","pre","","Sweet 16®","WEST","","03-28-2024","TBA","","","","",
"03/22/2024 23:02:02","","pre","","Sweet 16®","WEST","","03-28-2024","TBA","","","","",
"03/22/2024 23:02:02","","pre","","Sweet 16®","WEST","","03-28-2024","TBA","","","","",
"03/22/2024 23:02:02","","pre","","Sweet 16®","WEST","","03-28-2024","TBA","","","","",
"03/22/2024 23:02:02","","pre","","Sweet 16®","SOUTH","","03-29-2024","TBA","","","","",
"03/22/2024 23:02:02","","pre","","Sweet 16®","SOUTH","","03-29-2024","TBA","","","","",
"03/22/2024 23:02:02","","pre","","Sweet 16®","SOUTH","","03-29-2024","TBA","","","","",
"03/22/2024 23:02:02","","pre","","Sweet 16®","SOUTH","","03-29-2024","TBA","","","","",
"03/22/2024 23:02:02","","pre","","Sweet 16®","MIDWEST","","03-29-2024","TBA","","","","",
"03/22/2024 23:02:02","","pre","","Sweet 16®","MIDWEST","","03-29-2024","TBA","","","","",
"03/22/2024 23:02:02","","pre","","Sweet 16®","MIDWEST","","03-29-2024","TBA","","","","",
"03/22/2024 23:02:02","","pre","","Sweet 16®","MIDWEST","","03-29-2024","TBA","","","","",
"03/22/2024 23:02:02","","pre","","Elite Eight®","EAST","","03-30-2024","TBA","","","","",
"03/22/2024 23:02:02","","pre","","Elite Eight®","EAST","","03-30-2024","TBA","","","","",
"03/22/2024 23:02:02","","pre","","Elite Eight®","WEST","","03-30-2024","TBA","","","","",
"03/22/2024 23:02:02","","pre","","Elite Eight®","WEST","","03-30-2024","TBA","","","","",
"03/22/2024 23:02:02","","pre","","Elite Eight®","SOUTH","","03-31-2024","TBA","","","","",
"03/22/2024 23:02:02","","pre","","Elite Eight®","SOUTH","","03-31-2024","TBA","","","","",
"03/22/2024 23:02:02","","pre","","Elite Eight®","MIDWEST","","03-31-2024","TBA","","","","",
"03/22/2024 23:02:02","","pre","","Elite Eight®","MIDWEST","","03-31-2024","TBA","","","","",
"03/22/2024 23:02:02","","pre","","FINAL FOUR®","","TBS","04-06-2024","TBA","","","","",
"03/22/2024 23:02:02","","pre","","FINAL FOUR®","","TBS","04-06-2024","TBA","","","","",
"03/22/2024 23:02:02","","pre","","FINAL FOUR®","","TBS","04-06-2024","TBA","","","","",
"03/22/2024 23:02:02","","pre","","FINAL FOUR®","","TBS","04-06-2024","TBA","","","","",
"03/22/2024 23:02:02","","pre","","Championship","","TBS","04-08-2024","TBA","","","","",
"03/22/2024 23:02:02","","pre","","Championship","","TBS","04-08-2024","TBA","","","","",
